key_id,substitution_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,minute_label,minute_regulation,minute_stoppage,match_period,going_off,coming_on
37,S-0037,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-72,Sweden,SWE,0,1,P-01817,Larsson,Bo,7,80',80,0,second half,1,0
38,S-0038,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-72,Sweden,SWE,0,1,P-01357,Nicklasson,Göran,19,80',80,0,second half,0,1
39,S-0039,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-01289,Hrdlička,Ivan,16,46',46,0,second half,1,0
40,S-0040,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-06937,Kvašňák,Andrej,6,46',46,0,second half,0,1
41,S-0041,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-09,Brazil,BRA,1,0,P-06926,Gérson,not applicable,8,62',62,0,second half,1,0
42,S-0042,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-09,Brazil,BRA,1,0,P-04704,Caju,not applicable,18,62',62,0,second half,0,1
43,S-0043,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-08184,Veselý,František,18,75',75,0,second half,1,0
44,S-0044,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-05292,Veselý,Bohumil,7,75',75,0,second half,0,1
45,S-0045,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-83,West Germany,DEU,1,0,P-08217,Haller,Helmut,8,46',46,0,second half,1,0
46,S-0046,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-83,West Germany,DEU,1,0,P-05750,Grabowski,Jürgen,20,46',46,0,second half,0,1
47,S-0047,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-45,Morocco,MAR,0,1,P-08010,Ghazouani,Maouhoub,11,56',56,0,second half,1,0
48,S-0048,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-45,Morocco,MAR,0,1,P-01524,El Khiati,Abdelkader,18,56',56,0,second half,0,1
49,S-0049,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-45,Morocco,MAR,0,1,P-01581,Bamous,Driss,8,72',72,0,second half,1,0
50,S-0050,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-45,Morocco,MAR,0,1,P-01221,Faras,Ahmed,9,72',72,0,second half,0,1
51,S-0051,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-83,West Germany,DEU,1,0,P-06731,Höttges,Horst-Dieter,2,77',77,0,second half,1,0
52,S-0052,WC-1970,1970 FIFA World Cup,M-1970-08,West Germany v Morocco,1970-06-03,group stage,Group 4,T-83,West Germany,DEU,1,0,P-09020,Löhr,Hannes,17,77',77,0,second half,0,1
53,S-0053,WC-1970,1970 FIFA World Cup,M-1970-09,Soviet Union v Belgium,1970-06-06,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-00096,Kaplichny,Vladimir,5,34',34,0,first half,1,0
54,S-0054,WC-1970,1970 FIFA World Cup,M-1970-09,Soviet Union v Belgium,1970-06-06,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-06460,Lovchev,Evgeny,6,34',34,0,first half,0,1
55,S-0055,WC-1970,1970 FIFA World Cup,M-1970-09,Soviet Union v Belgium,1970-06-06,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-03757,Dzodzuashvili,Revaz,4,73',73,0,second half,1,0
56,S-0056,WC-1970,1970 FIFA World Cup,M-1970-09,Soviet Union v Belgium,1970-06-06,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-06909,Kiselyov,Nikolay,12,73',73,0,second half,0,1
57,S-0057,WC-1970,1970 FIFA World Cup,M-1970-10,Uruguay v Italy,1970-06-06,group stage,Group 2,T-39,Italy,ITA,0,1,P-08656,Domenghini,Angelo,13,46',46,0,second half,1,0
58,S-0058,WC-1970,1970 FIFA World Cup,M-1970-10,Uruguay v Italy,1970-06-06,group stage,Group 2,T-39,Italy,ITA,0,1,P-09671,Furino,Giuseppe,21,46',46,0,second half,0,1
59,S-0059,WC-1970,1970 FIFA World Cup,M-1970-10,Uruguay v Italy,1970-06-06,group stage,Group 2,T-81,Uruguay,URY,1,0,P-08615,Bareño,Rúben,17,70',70,0,second half,1,0
60,S-0060,WC-1970,1970 FIFA World Cup,M-1970-10,Uruguay v Italy,1970-06-06,group stage,Group 2,T-81,Uruguay,URY,1,0,P-02898,Zubia,Oscar,19,70',70,0,second half,0,1
61,S-0061,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-06027,Jurkanin,Josef,19,46',46,0,second half,1,0
62,S-0062,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-07600,Adamec,Jozef,10,46',46,0,second half,0,1
63,S-0063,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-59,Romania,ROU,1,0,P-06369,Lucescu,Mircea,11,69',69,0,second half,1,0
64,S-0064,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-03266,Jokl,Karol,11,69',69,0,second half,1,0
65,S-0065,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-59,Romania,ROU,1,0,P-08467,Tătaru,Gheorghe,17,69',69,0,second half,0,1
66,S-0066,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-08184,Veselý,František,18,69',69,0,second half,0,1
67,S-0067,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-59,Romania,ROU,1,0,P-06508,Dumitru,Ion,15,81',81,0,second half,1,0
68,S-0068,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-59,Romania,ROU,1,0,P-06776,Gergely,Vasile,14,81',81,0,second half,0,1
69,S-0069,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-54,Peru,PER,1,0,P-01093,Mifflin,Ramón,6,56',56,0,second half,1,0
70,S-0070,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-54,Peru,PER,1,0,P-03319,Cruzado,Luis,17,56',56,0,second half,0,1
71,S-0071,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-45,Morocco,MAR,0,1,P-01311,Benkhrif,Boujemaa,3,66',66,0,second half,1,0
72,S-0072,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-45,Morocco,MAR,0,1,P-02159,Fadili,Jalili,13,66',66,0,second half,0,1
73,S-0073,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-54,Peru,PER,1,0,P-01139,Gallardo,Alberto,11,76',76,0,second half,1,0
74,S-0074,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-54,Peru,PER,1,0,P-04020,Ramírez,Oswaldo,22,76',76,0,second half,0,1
75,S-0075,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-45,Morocco,MAR,0,1,P-04195,Ghandi,Said,7,81',81,0,second half,1,0
76,S-0076,WC-1970,1970 FIFA World Cup,M-1970-12,Peru v Morocco,1970-06-06,group stage,Group 4,T-45,Morocco,MAR,0,1,P-01256,Alaoui,Ahmed,17,81',81,0,second half,0,1
77,S-0077,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-44,Mexico,MEX,1,0,P-07552,Borja,Enrique,9,46',46,0,second half,1,0
78,S-0078,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-44,Mexico,MEX,1,0,P-04789,Salgado,Horacio López,10,46',46,0,second half,0,1
79,S-0079,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-06517,Aparicio,Ernesto,11,58',58,0,second half,1,0
80,S-0080,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-02665,Méndez,Sergio,19,58',58,0,second half,0,1
81,S-0081,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-06569,Cortés,Santiago,4,68',68,0,second half,1,0
82,S-0082,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-00223,Monge,Mario,12,68',68,0,second half,0,1
83,S-0083,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-44,Mexico,MEX,1,0,P-04789,Salgado,Horacio López,10,76',76,0,second half,1,0
84,S-0084,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-44,Mexico,MEX,1,0,P-06207,Basaguren,Juan Ignacio,20,76',76,0,second half,0,1
85,S-0085,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-38,Israel,ISR,0,1,P-01619,Vollach,Yochanan,16,51',51,0,second half,1,0
86,S-0086,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-38,Israel,ISR,0,1,P-08442,Shuruk,Roni,19,51',51,0,second half,0,1
87,S-0087,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-72,Sweden,SWE,1,0,P-01272,Persson,Örjan,11,75',75,0,second half,1,0
88,S-0088,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-72,Sweden,SWE,1,0,P-03626,Pålsson,Sten,22,75',75,0,second half,0,1
89,S-0089,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-27,England,ENG,0,1,P-03645,Charlton,Bobby,9,63',63,0,second half,1,0
90,S-0090,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-27,England,ENG,0,1,P-02882,Lee,Francis,7,63',63,0,second half,1,0
91,S-0091,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-27,England,ENG,0,1,P-08157,Bell,Colin,19,63',63,0,second half,0,1
92,S-0092,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-27,England,ENG,0,1,P-04027,Astle,Jeff,22,63',63,0,second half,0,1
93,S-0093,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-09,Brazil,BRA,1,0,P-07306,Tostão,not applicable,9,68',68,0,second half,1,0
94,S-0094,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-09,Brazil,BRA,1,0,P-03617,Roberto,not applicable,13,68',68,0,second half,0,1
95,S-0095,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-02254,Dermendzhiev,Dinko,11,46',46,0,second half,1,0
96,S-0096,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-09497,Mitkov,Vasil,20,46',46,0,second half,0,1
97,S-0097,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-83,West Germany,DEU,1,0,P-09020,Löhr,Hannes,17,58',58,0,second half,1,0
98,S-0098,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-09199,Gaganelov,Boris,15,58',58,0,second half,1,0
99,S-0099,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-83,West Germany,DEU,1,0,P-05750,Grabowski,Jürgen,20,58',58,0,second half,0,1
100,S-0100,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-07620,Shalamanov,Aleksandar,2,58',58,0,second half,0,1
101,S-0101,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-83,West Germany,DEU,1,0,P-08834,Beckenbauer,Franz,4,72',72,0,second half,1,0
102,S-0102,WC-1970,1970 FIFA World Cup,M-1970-16,West Germany v Bulgaria,1970-06-07,group stage,Group 4,T-83,West Germany,DEU,1,0,P-07142,Weber,Wolfgang,6,72',72,0,second half,0,1
103,S-0103,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-03867,Puzach,Anatoliy,20,46',46,0,second half,1,0
104,S-0104,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-02585,Yevriuzhikin,Gennady,17,46',46,0,second half,0,1
105,S-0105,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-06909,Kiselyov,Nikolay,12,81',81,0,second half,1,0
106,S-0106,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-70,Soviet Union,SUN,1,0,P-02708,Asatiani,Kakhi,11,81',81,0,second half,0,1
107,S-0107,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-05665,Cabezas,Salvador,10,82',82,0,second half,1,0
108,S-0108,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-06517,Aparicio,Ernesto,11,82',82,0,second half,0,1
109,S-0109,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-07219,Rodríguez,Mauricio,7,86',86,0,second half,1,0
110,S-0110,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-07755,Sarmeno,Genaro,16,86',86,0,second half,0,1
111,S-0111,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-72,Sweden,SWE,1,0,P-08688,Kindvall,Ove,9,58',58,0,second half,1,0
112,S-0112,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-72,Sweden,SWE,1,0,P-07895,Turesson,Tom,18,58',58,0,second half,0,1
113,S-0113,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-81,Uruguay,URY,0,1,P-06642,Espárrago,Víctor,9,61',61,0,second half,1,0
114,S-0114,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-81,Uruguay,URY,0,1,P-06474,Fontes,Dagoberto,15,61',61,0,second half,0,1
115,S-0115,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-72,Sweden,SWE,1,0,P-01357,Nicklasson,Göran,19,84',84,0,second half,1,0
116,S-0116,WC-1970,1970 FIFA World Cup,M-1970-18,Sweden v Uruguay,1970-06-10,group stage,Group 2,T-72,Sweden,SWE,1,0,P-01668,Grahn,Ove,10,84',84,0,second half,0,1
117,S-0117,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-59,Romania,ROU,0,1,P-04643,Adamache,Stere,21,27',27,0,first half,1,0
118,S-0118,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-59,Romania,ROU,0,1,P-06673,Răducanu,Necula,1,27',27,0,first half,0,1
119,S-0119,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-09,Brazil,BRA,1,0,P-01266,Everaldo,not applicable,16,60',60,0,second half,1,0
120,S-0120,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-09,Brazil,BRA,1,0,P-07939,Antônio,Marco,6,60',60,0,second half,0,1
121,S-0121,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-59,Romania,ROU,0,1,P-02339,Dumitrache,Florea,9,72',72,0,second half,1,0
122,S-0122,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-59,Romania,ROU,0,1,P-08467,Tătaru,Gheorghe,17,72',72,0,second half,0,1
123,S-0123,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-09,Brazil,BRA,1,0,P-06480,Clodoaldo,not applicable,5,74',74,0,second half,1,0
124,S-0124,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-09,Brazil,BRA,1,0,P-03388,Edu,not applicable,19,74',74,0,second half,0,1
125,S-0125,WC-1970,1970 FIFA World Cup,M-1970-20,West Germany v Peru,1970-06-10,group stage,Group 4,T-83,West Germany,DEU,1,0,P-06731,Höttges,Horst-Dieter,2,46',46,0,second half,1,0
126,S-0126,WC-1970,1970 FIFA World Cup,M-1970-20,West Germany v Peru,1970-06-10,group stage,Group 4,T-83,West Germany,DEU,1,0,P-09430,Patzke,Bernd,15,46',46,0,second half,0,1
127,S-0127,WC-1970,1970 FIFA World Cup,M-1970-20,West Germany v Peru,1970-06-10,group stage,Group 4,T-54,Peru,PER,0,1,P-09127,León,Pedro Pablo,9,56',56,0,second half,1,0
128,S-0128,WC-1970,1970 FIFA World Cup,M-1970-20,West Germany v Peru,1970-06-10,group stage,Group 4,T-54,Peru,PER,0,1,P-04020,Ramírez,Oswaldo,22,56',56,0,second half,0,1
129,S-0129,WC-1970,1970 FIFA World Cup,M-1970-20,West Germany v Peru,1970-06-10,group stage,Group 4,T-54,Peru,PER,0,1,P-01300,Challe,Roberto,7,72',72,0,second half,1,0
