key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,referee_id,family_name,given_name,country_name,confederation_id,confederation_name,confederation_code
31,WC-1934,1934 FIFA Men's World Cup,M-1934-13,Italy vs Spain,1934-06-01,quarter-finals,not applicable,R-296,Mercet,René,Switzerland,CF-6,Union of European Football Associations,UEFA
32,WC-1934,1934 FIFA Men's World Cup,M-1934-14,Czechoslovakia vs Germany,1934-06-03,semi-finals,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
33,WC-1934,1934 FIFA Men's World Cup,M-1934-15,Italy vs Austria,1934-06-03,semi-finals,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
34,WC-1934,1934 FIFA Men's World Cup,M-1934-16,Germany vs Austria,1934-06-07,third-place match,not applicable,R-082,Carraro,Albino,Italy,CF-6,Union of European Football Associations,UEFA
35,WC-1934,1934 FIFA Men's World Cup,M-1934-17,Italy vs Czechoslovakia,1934-06-10,final,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
36,WC-1938,1938 FIFA Men's World Cup,M-1938-01,Switzerland vs Germany,1938-06-04,round of 16,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
37,WC-1938,1938 FIFA Men's World Cup,M-1938-02,Cuba vs Romania,1938-06-05,round of 16,not applicable,R-393,Scarpi,Giuseppe,Italy,CF-6,Union of European Football Associations,UEFA
38,WC-1938,1938 FIFA Men's World Cup,M-1938-03,France vs Belgium,1938-06-05,round of 16,not applicable,R-483,Wüthrich,Hans,Switzerland,CF-6,Union of European Football Associations,UEFA
39,WC-1938,1938 FIFA Men's World Cup,M-1938-04,Hungary vs Dutch East Indies,1938-06-05,round of 16,not applicable,R-100,Conrié,Roger,France,CF-6,Union of European Football Associations,UEFA
40,WC-1938,1938 FIFA Men's World Cup,M-1938-05,Italy vs Norway,1938-06-05,round of 16,not applicable,R-054,Beranek,Alois,Austria,CF-6,Union of European Football Associations,UEFA
41,WC-1938,1938 FIFA Men's World Cup,M-1938-06,Brazil vs Poland,1938-06-05,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
42,WC-1938,1938 FIFA Men's World Cup,M-1938-07,Czechoslovakia vs Netherlands,1938-06-05,round of 16,not applicable,R-241,Leclerq,Lucien,France,CF-6,Union of European Football Associations,UEFA
43,WC-1938,1938 FIFA Men's World Cup,M-1938-08,Cuba vs Romania,1938-06-09,round of 16,not applicable,R-056,Birlem,Alfred,Germany,CF-6,Union of European Football Associations,UEFA
44,WC-1938,1938 FIFA Men's World Cup,M-1938-09,Switzerland vs Germany,1938-06-09,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
45,WC-1938,1938 FIFA Men's World Cup,M-1938-10,Brazil vs Czechoslovakia,1938-06-12,quarter-finals,not applicable,R-470,von Hertzka,Pál,Hungary,CF-6,Union of European Football Associations,UEFA
46,WC-1938,1938 FIFA Men's World Cup,M-1938-11,Hungary vs Switzerland,1938-06-12,quarter-finals,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
47,WC-1938,1938 FIFA Men's World Cup,M-1938-12,Italy vs France,1938-06-12,quarter-finals,not applicable,R-034,Baert,Louis,Belgium,CF-6,Union of European Football Associations,UEFA
48,WC-1938,1938 FIFA Men's World Cup,M-1938-13,Sweden vs Cuba,1938-06-12,quarter-finals,not applicable,R-226,Krist,Augustin,Czechoslovakia,CF-6,Union of European Football Associations,UEFA
49,WC-1938,1938 FIFA Men's World Cup,M-1938-14,Brazil vs Czechoslovakia,1938-06-14,quarter-finals,not applicable,R-080,Capdeville,Georges,France,CF-6,Union of European Football Associations,UEFA
50,WC-1938,1938 FIFA Men's World Cup,M-1938-15,Hungary vs Sweden,1938-06-16,semi-finals,not applicable,R-241,Leclerq,Lucien,France,CF-6,Union of European Football Associations,UEFA
51,WC-1938,1938 FIFA Men's World Cup,M-1938-16,Italy vs Brazil,1938-06-16,semi-finals,not applicable,R-483,Wüthrich,Hans,Switzerland,CF-6,Union of European Football Associations,UEFA
52,WC-1938,1938 FIFA Men's World Cup,M-1938-17,Brazil vs Sweden,1938-06-19,third-place match,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
53,WC-1938,1938 FIFA Men's World Cup,M-1938-18,Italy vs Hungary,1938-06-19,final,not applicable,R-080,Capdeville,Georges,France,CF-6,Union of European Football Associations,UEFA
54,WC-1950,1950 FIFA Men's World Cup,M-1950-01,Brazil vs Mexico,1950-06-24,group stage,Group 1,R-365,Reader,George,England,CF-6,Union of European Football Associations,UEFA
55,WC-1950,1950 FIFA Men's World Cup,M-1950-02,Yugoslavia vs Switzerland,1950-06-25,group stage,Group 1,R-159,Galeati,Giovanni,Italy,CF-6,Union of European Football Associations,UEFA
56,WC-1950,1950 FIFA Men's World Cup,M-1950-03,England vs Chile,1950-06-25,group stage,Group 2,R-451,van der Meer,Karel,Netherlands,CF-6,Union of European Football Associations,UEFA
57,WC-1950,1950 FIFA Men's World Cup,M-1950-04,Spain vs United States,1950-06-25,group stage,Group 2,R-465,Vianna,Mário,Brazil,CF-4,South American Football Confederation,CONMEBOL
58,WC-1950,1950 FIFA Men's World Cup,M-1950-05,Sweden vs Italy,1950-06-25,group stage,Group 3,R-258,Lutz,Jean,Switzerland,CF-6,Union of European Football Associations,UEFA
59,WC-1950,1950 FIFA Men's World Cup,M-1950-06,Brazil vs Switzerland,1950-06-28,group stage,Group 1,R-031,Azón Romá,Ramón,Spain,CF-6,Union of European Football Associations,UEFA
60,WC-1950,1950 FIFA Men's World Cup,M-1950-07,Yugoslavia vs Mexico,1950-06-28,group stage,Group 1,R-240,Leafe,Reginald,England,CF-6,Union of European Football Associations,UEFA
61,WC-1950,1950 FIFA Men's World Cup,M-1950-08,Spain vs Chile,1950-06-29,group stage,Group 2,R-267,Malcher,Alberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
62,WC-1950,1950 FIFA Men's World Cup,M-1950-09,United States vs England,1950-06-29,group stage,Group 2,R-114,Dattilo,Generoso,Italy,CF-6,Union of European Football Associations,UEFA
63,WC-1950,1950 FIFA Men's World Cup,M-1950-10,Sweden vs Paraguay,1950-06-29,group stage,Group 3,R-300,Mitchell,George,Scotland,CF-6,Union of European Football Associations,UEFA
64,WC-1950,1950 FIFA Men's World Cup,M-1950-11,Brazil vs Yugoslavia,1950-07-01,group stage,Group 1,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
65,WC-1950,1950 FIFA Men's World Cup,M-1950-12,Chile vs United States,1950-07-02,group stage,Group 2,R-165,Gardelli,Mário,Brazil,CF-4,South American Football Confederation,CONMEBOL
66,WC-1950,1950 FIFA Men's World Cup,M-1950-13,Spain vs England,1950-07-02,group stage,Group 2,R-159,Galeati,Giovanni,Italy,CF-6,Union of European Football Associations,UEFA
67,WC-1950,1950 FIFA Men's World Cup,M-1950-14,Italy vs Paraguay,1950-07-02,group stage,Group 3,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
68,WC-1950,1950 FIFA Men's World Cup,M-1950-15,Uruguay vs Bolivia,1950-07-02,group stage,Group 4,R-365,Reader,George,England,CF-6,Union of European Football Associations,UEFA
69,WC-1950,1950 FIFA Men's World Cup,M-1950-16,Switzerland vs Mexico,1950-07-02,group stage,Group 1,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
70,WC-1950,1950 FIFA Men's World Cup,M-1950-17,Brazil vs Sweden,1950-07-09,final round,not applicable,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
71,WC-1950,1950 FIFA Men's World Cup,M-1950-18,Uruguay vs Spain,1950-07-09,final round,not applicable,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
72,WC-1950,1950 FIFA Men's World Cup,M-1950-19,Brazil vs Spain,1950-07-13,final round,not applicable,R-240,Leafe,Reginald,England,CF-6,Union of European Football Associations,UEFA
73,WC-1950,1950 FIFA Men's World Cup,M-1950-20,Uruguay vs Sweden,1950-07-13,final round,not applicable,R-159,Galeati,Giovanni,Italy,CF-6,Union of European Football Associations,UEFA
74,WC-1950,1950 FIFA Men's World Cup,M-1950-21,Sweden vs Spain,1950-07-16,final round,not applicable,R-451,van der Meer,Karel,Netherlands,CF-6,Union of European Football Associations,UEFA
75,WC-1950,1950 FIFA Men's World Cup,M-1950-22,Uruguay vs Brazil,1950-07-16,final round,not applicable,R-365,Reader,George,England,CF-6,Union of European Football Associations,UEFA
76,WC-1954,1954 FIFA Men's World Cup,M-1954-01,Brazil vs Mexico,1954-06-16,group stage,Group 1,R-484,Wyssling,Raymond,Switzerland,CF-6,Union of European Football Associations,UEFA
77,WC-1954,1954 FIFA Men's World Cup,M-1954-02,Yugoslavia vs France,1954-06-16,group stage,Group 1,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
78,WC-1954,1954 FIFA Men's World Cup,M-1954-03,Austria vs Scotland,1954-06-16,group stage,Group 3,R-152,Franken,Laurent,Belgium,CF-6,Union of European Football Associations,UEFA
79,WC-1954,1954 FIFA Men's World Cup,M-1954-04,Uruguay vs Czechoslovakia,1954-06-16,group stage,Group 3,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
80,WC-1954,1954 FIFA Men's World Cup,M-1954-05,Switzerland vs Italy,1954-06-17,group stage,Group 4,R-465,Vianna,Mário,Brazil,CF-4,South American Football Confederation,CONMEBOL
81,WC-1954,1954 FIFA Men's World Cup,M-1954-06,Hungary vs South Korea,1954-06-17,group stage,Group 2,R-467,Vincenti,Raymond,France,CF-6,Union of European Football Associations,UEFA
82,WC-1954,1954 FIFA Men's World Cup,M-1954-07,West Germany vs Turkey,1954-06-17,group stage,Group 2,R-107,da Costa Vieira,Jose,Portugal,CF-6,Union of European Football Associations,UEFA
83,WC-1954,1954 FIFA Men's World Cup,M-1954-08,England vs Belgium,1954-06-17,group stage,Group 4,R-395,Schmetzer,Emil,West Germany,CF-6,Union of European Football Associations,UEFA
84,WC-1954,1954 FIFA Men's World Cup,M-1954-09,Uruguay vs Scotland,1954-06-19,group stage,Group 3,R-326,Orlandini,Vincenzo,Italy,CF-6,Union of European Football Associations,UEFA
85,WC-1954,1954 FIFA Men's World Cup,M-1954-10,Brazil vs Yugoslavia,1954-06-19,group stage,Group 1,R-148,Faultless,Charlie,Scotland,CF-6,Union of European Football Associations,UEFA
86,WC-1954,1954 FIFA Men's World Cup,M-1954-11,Austria vs Czechoslovakia,1954-06-19,group stage,Group 3,R-420,Stefanovic,Vasa,Yugoslavia,CF-6,Union of European Football Associations,UEFA
87,WC-1954,1954 FIFA Men's World Cup,M-1954-12,France vs Mexico,1954-06-19,group stage,Group 1,R-028,Asensi,Manuel,Spain,CF-6,Union of European Football Associations,UEFA
88,WC-1954,1954 FIFA Men's World Cup,M-1954-13,Hungary vs West Germany,1954-06-20,group stage,Group 2,R-248,Ling,William,England,CF-6,Union of European Football Associations,UEFA
89,WC-1954,1954 FIFA Men's World Cup,M-1954-14,Turkey vs South Korea,1954-06-20,group stage,Group 2,R-270,Marino,Esteban,Uruguay,CF-4,South American Football Confederation,CONMEBOL
90,WC-1954,1954 FIFA Men's World Cup,M-1954-15,Italy vs Belgium,1954-06-20,group stage,Group 4,R-421,Steiner,Carl Erich,Austria,CF-6,Union of European Football Associations,UEFA
91,WC-1954,1954 FIFA Men's World Cup,M-1954-16,England vs Switzerland,1954-06-20,group stage,Group 4,R-492,Zsolt,István,Hungary,CF-6,Union of European Football Associations,UEFA
92,WC-1954,1954 FIFA Men's World Cup,M-1954-17,West Germany vs Turkey,1954-06-23,group stage,Group 2,R-467,Vincenti,Raymond,France,CF-6,Union of European Football Associations,UEFA
93,WC-1954,1954 FIFA Men's World Cup,M-1954-18,Switzerland vs Italy,1954-06-23,group stage,Group 4,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
94,WC-1954,1954 FIFA Men's World Cup,M-1954-19,Austria vs Switzerland,1954-06-26,quarter-finals,not applicable,R-148,Faultless,Charlie,Scotland,CF-6,Union of European Football Associations,UEFA
95,WC-1954,1954 FIFA Men's World Cup,M-1954-20,Uruguay vs England,1954-06-26,quarter-finals,not applicable,R-421,Steiner,Carl Erich,Austria,CF-6,Union of European Football Associations,UEFA
96,WC-1954,1954 FIFA Men's World Cup,M-1954-21,Hungary vs Brazil,1954-06-27,quarter-finals,not applicable,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
97,WC-1954,1954 FIFA Men's World Cup,M-1954-22,West Germany vs Yugoslavia,1954-06-27,quarter-finals,not applicable,R-492,Zsolt,István,Hungary,CF-6,Union of European Football Associations,UEFA
98,WC-1954,1954 FIFA Men's World Cup,M-1954-23,Hungary vs Uruguay,1954-06-30,semi-finals,not applicable,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
99,WC-1954,1954 FIFA Men's World Cup,M-1954-24,West Germany vs Austria,1954-06-30,semi-finals,not applicable,R-326,Orlandini,Vincenzo,Italy,CF-6,Union of European Football Associations,UEFA
100,WC-1954,1954 FIFA Men's World Cup,M-1954-25,Austria vs Uruguay,1954-07-03,third-place match,not applicable,R-484,Wyssling,Raymond,Switzerland,CF-6,Union of European Football Associations,UEFA
101,WC-1954,1954 FIFA Men's World Cup,M-1954-26,West Germany vs Hungary,1954-07-04,final,not applicable,R-248,Ling,William,England,CF-6,Union of European Football Associations,UEFA
102,WC-1958,1958 FIFA Men's World Cup,M-1958-01,Sweden vs Mexico,1958-06-08,group stage,Group 3,R-245,Levnikov,Nikolai,Soviet Union,CF-6,Union of European Football Associations,UEFA
103,WC-1958,1958 FIFA Men's World Cup,M-1958-02,Argentina vs West Germany,1958-06-08,group stage,Group 1,R-240,Leafe,Reginald,England,CF-6,Union of European Football Associations,UEFA
104,WC-1958,1958 FIFA Men's World Cup,M-1958-03,Northern Ireland vs Czechoslovakia,1958-06-08,group stage,Group 1,R-399,Seipelt,Fritz,Austria,CF-6,Union of European Football Associations,UEFA
105,WC-1958,1958 FIFA Men's World Cup,M-1958-04,France vs Paraguay,1958-06-08,group stage,Group 2,R-163,Garay Gardeazábal,Juan,Spain,CF-6,Union of European Football Associations,UEFA
106,WC-1958,1958 FIFA Men's World Cup,M-1958-05,Yugoslavia vs Scotland,1958-06-08,group stage,Group 2,R-484,Wyssling,Raymond,Switzerland,CF-6,Union of European Football Associations,UEFA
107,WC-1958,1958 FIFA Men's World Cup,M-1958-06,Hungary vs Wales,1958-06-08,group stage,Group 3,R-095,Codesal,José María,Uruguay,CF-4,South American Football Confederation,CONMEBOL
108,WC-1958,1958 FIFA Men's World Cup,M-1958-07,Brazil vs Austria,1958-06-08,group stage,Group 4,R-183,Guigue,Maurice,France,CF-6,Union of European Football Associations,UEFA
109,WC-1958,1958 FIFA Men's World Cup,M-1958-08,Soviet Union vs England,1958-06-08,group stage,Group 4,R-492,Zsolt,István,Hungary,CF-6,Union of European Football Associations,UEFA
110,WC-1958,1958 FIFA Men's World Cup,M-1958-09,Argentina vs Northern Ireland,1958-06-11,group stage,Group 1,R-009,Ahlner,Sten,Sweden,CF-6,Union of European Football Associations,UEFA
111,WC-1958,1958 FIFA Men's World Cup,M-1958-10,West Germany vs Czechoslovakia,1958-06-11,group stage,Group 1,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
112,WC-1958,1958 FIFA Men's World Cup,M-1958-11,Paraguay vs Scotland,1958-06-11,group stage,Group 2,R-326,Orlandini,Vincenzo,Italy,CF-6,Union of European Football Associations,UEFA
113,WC-1958,1958 FIFA Men's World Cup,M-1958-12,Yugoslavia vs France,1958-06-11,group stage,Group 2,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
114,WC-1958,1958 FIFA Men's World Cup,M-1958-13,Mexico vs Wales,1958-06-11,group stage,Group 3,R-242,Lemesic,Leo,Yugoslavia,CF-6,Union of European Football Associations,UEFA
115,WC-1958,1958 FIFA Men's World Cup,M-1958-14,Brazil vs England,1958-06-11,group stage,Group 4,R-133,Dusch,Albert,West Germany,CF-6,Union of European Football Associations,UEFA
116,WC-1958,1958 FIFA Men's World Cup,M-1958-15,Soviet Union vs Austria,1958-06-11,group stage,Group 4,R-210,Jørgensen,Carl,Denmark,CF-6,Union of European Football Associations,UEFA
117,WC-1958,1958 FIFA Men's World Cup,M-1958-16,Sweden vs Hungary,1958-06-12,group stage,Group 3,R-306,Mowat,Jack,Scotland,CF-6,Union of European Football Associations,UEFA
118,WC-1958,1958 FIFA Men's World Cup,M-1958-17,Sweden vs Wales,1958-06-15,group stage,Group 3,R-455,van Nuffel,Lucien,Belgium,CF-6,Union of European Football Associations,UEFA
119,WC-1958,1958 FIFA Men's World Cup,M-1958-18,Czechoslovakia vs Argentina,1958-06-15,group stage,Group 1,R-138,Ellis,Arthur Edward,England,CF-6,Union of European Football Associations,UEFA
120,WC-1958,1958 FIFA Men's World Cup,M-1958-19,West Germany vs Northern Ireland,1958-06-15,group stage,Group 1,R-079,Campos,Joaquim,Portugal,CF-6,Union of European Football Associations,UEFA
121,WC-1958,1958 FIFA Men's World Cup,M-1958-20,France vs Scotland,1958-06-15,group stage,Group 2,R-366,Regis Brozzi,Juan,Argentina,CF-4,South American Football Confederation,CONMEBOL
122,WC-1958,1958 FIFA Men's World Cup,M-1958-21,Paraguay vs Yugoslavia,1958-06-15,group stage,Group 2,R-262,Macko,Martin,Czechoslovakia,CF-6,Union of European Football Associations,UEFA
123,WC-1958,1958 FIFA Men's World Cup,M-1958-22,Hungary vs Mexico,1958-06-15,group stage,Group 3,R-140,Eriksson,Arne,Finland,CF-6,Union of European Football Associations,UEFA
124,WC-1958,1958 FIFA Men's World Cup,M-1958-23,Brazil vs Soviet Union,1958-06-15,group stage,Group 4,R-183,Guigue,Maurice,France,CF-6,Union of European Football Associations,UEFA
125,WC-1958,1958 FIFA Men's World Cup,M-1958-24,England vs Austria,1958-06-15,group stage,Group 4,R-068,Bronkhorst,Jan,Netherlands,CF-6,Union of European Football Associations,UEFA
126,WC-1958,1958 FIFA Men's World Cup,M-1958-25,Northern Ireland vs Czechoslovakia,1958-06-17,group stage,Group 1,R-183,Guigue,Maurice,France,CF-6,Union of European Football Associations,UEFA
127,WC-1958,1958 FIFA Men's World Cup,M-1958-26,Wales vs Hungary,1958-06-17,group stage,Group 3,R-245,Levnikov,Nikolai,Soviet Union,CF-6,Union of European Football Associations,UEFA
128,WC-1958,1958 FIFA Men's World Cup,M-1958-27,Soviet Union vs England,1958-06-17,group stage,Group 4,R-133,Dusch,Albert,West Germany,CF-6,Union of European Football Associations,UEFA
129,WC-1958,1958 FIFA Men's World Cup,M-1958-28,Brazil vs Wales,1958-06-19,quarter-finals,not applicable,R-399,Seipelt,Fritz,Austria,CF-6,Union of European Football Associations,UEFA
130,WC-1958,1958 FIFA Men's World Cup,M-1958-29,France vs Northern Ireland,1958-06-19,quarter-finals,not applicable,R-163,Garay Gardeazábal,Juan,Spain,CF-6,Union of European Football Associations,UEFA
131,WC-1958,1958 FIFA Men's World Cup,M-1958-30,Sweden vs Soviet Union,1958-06-19,quarter-finals,not applicable,R-240,Leafe,Reginald,England,CF-6,Union of European Football Associations,UEFA
132,WC-1958,1958 FIFA Men's World Cup,M-1958-31,West Germany vs Yugoslavia,1958-06-19,quarter-finals,not applicable,R-484,Wyssling,Raymond,Switzerland,CF-6,Union of European Football Associations,UEFA
133,WC-1958,1958 FIFA Men's World Cup,M-1958-32,Brazil vs France,1958-06-24,semi-finals,not applicable,R-179,Griffiths,Sandy,Wales,CF-6,Union of European Football Associations,UEFA
134,WC-1958,1958 FIFA Men's World Cup,M-1958-33,Sweden vs West Germany,1958-06-24,semi-finals,not applicable,R-492,Zsolt,István,Hungary,CF-6,Union of European Football Associations,UEFA
135,WC-1958,1958 FIFA Men's World Cup,M-1958-34,France vs West Germany,1958-06-28,third-place match,not applicable,R-366,Regis Brozzi,Juan,Argentina,CF-4,South American Football Confederation,CONMEBOL
136,WC-1958,1958 FIFA Men's World Cup,M-1958-35,Brazil vs Sweden,1958-06-29,final,not applicable,R-183,Guigue,Maurice,France,CF-6,Union of European Football Associations,UEFA
137,WC-1962,1962 FIFA Men's World Cup,M-1962-01,Uruguay vs Colombia,1962-05-30,group stage,Group 1,R-128,Dorogi,Andor,Hungary,CF-6,Union of European Football Associations,UEFA
138,WC-1962,1962 FIFA Men's World Cup,M-1962-02,Chile vs Switzerland,1962-05-30,group stage,Group 2,R-030,Aston,Kenneth,England,CF-6,Union of European Football Associations,UEFA
139,WC-1962,1962 FIFA Men's World Cup,M-1962-03,Brazil vs Mexico,1962-05-30,group stage,Group 3,R-125,Dienst,Gottfried,Switzerland,CF-6,Union of European Football Associations,UEFA
140,WC-1962,1962 FIFA Men's World Cup,M-1962-04,Argentina vs Bulgaria,1962-05-30,group stage,Group 4,R-163,Garay Gardeazábal,Juan,Spain,CF-6,Union of European Football Associations,UEFA
141,WC-1962,1962 FIFA Men's World Cup,M-1962-05,Soviet Union vs Yugoslavia,1962-05-31,group stage,Group 1,R-133,Dusch,Albert,West Germany,CF-6,Union of European Football Associations,UEFA
142,WC-1962,1962 FIFA Men's World Cup,M-1962-06,West Germany vs Italy,1962-05-31,group stage,Group 2,R-115,Davidson,Bobby,Scotland,CF-6,Union of European Football Associations,UEFA
143,WC-1962,1962 FIFA Men's World Cup,M-1962-07,Czechoslovakia vs Spain,1962-05-31,group stage,Group 3,R-421,Steiner,Carl Erich,Austria,CF-6,Union of European Football Associations,UEFA
