key_id,booking_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,minute_label,minute_regulation,minute_stoppage,match_period,yellow_card,red_card,second_yellow_card,sending_off
24,B-0024,WC-1970,1970 FIFA World Cup,M-1970-21,Mexico v Belgium,1970-06-11,group stage,Group 1,T-06,Belgium,BEL,0,1,P-05005,Thissen,Jean,3,29',29,0,first half,1,0,0,0
25,B-0025,WC-1970,1970 FIFA World Cup,M-1970-21,Mexico v Belgium,1970-06-11,group stage,Group 1,T-06,Belgium,BEL,0,1,P-06612,Polleunis,Odilon,16,62',62,0,second half,1,0,0,0
26,B-0026,WC-1970,1970 FIFA World Cup,M-1970-22,Italy v Israel,1970-06-11,group stage,Group 2,T-38,Israel,ISR,0,1,P-06382,Primo,David,4,62',62,0,second half,1,0,0,0
27,B-0027,WC-1970,1970 FIFA World Cup,M-1970-22,Italy v Israel,1970-06-11,group stage,Group 2,T-38,Israel,ISR,0,1,P-03572,Bello,Menachem,3,67',67,0,second half,1,0,0,0
28,B-0028,WC-1970,1970 FIFA World Cup,M-1970-22,Italy v Israel,1970-06-11,group stage,Group 2,T-39,Italy,ITA,1,0,P-02561,Boninsegna,Roberto,20,90',90,0,second half,1,0,0,0
29,B-0029,WC-1970,1970 FIFA World Cup,M-1970-23,England v Czechoslovakia,1970-06-11,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-08434,Dobiaš,Karol,2,78',78,0,second half,1,0,0,0
30,B-0030,WC-1970,1970 FIFA World Cup,M-1970-26,Italy v Mexico,1970-06-14,quarter-finals,not applicable,T-39,Italy,ITA,1,0,P-07296,Rivera,Gianni,14,67',67,0,second half,1,0,0,0
31,B-0031,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-81,Uruguay,URY,0,1,P-07507,Matosas,Roberto,3,9',9,0,first half,1,0,0,0
32,B-0032,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-81,Uruguay,URY,0,1,P-06276,Montero Castillo,Julio,5,17',17,0,first half,1,0,0,0
33,B-0033,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-70,Soviet Union,SUN,1,0,P-02708,Asatiani,Kakhi,11,32',32,0,first half,1,0,0,0
34,B-0034,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-81,Uruguay,URY,0,1,P-01017,Ubiña,Luis,4,59',59,0,second half,1,0,0,0
35,B-0035,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-70,Soviet Union,SUN,1,0,P-00096,Kaplichny,Vladimir,5,76',76,0,second half,1,0,0,0
36,B-0036,WC-1970,1970 FIFA World Cup,M-1970-27,Soviet Union v Uruguay,1970-06-14,quarter-finals,not applicable,T-70,Soviet Union,SUN,1,0,P-07217,Byshovets,Anatoliy,16,118',118,0,"extra time, second half",1,0,0,0
37,B-0037,WC-1970,1970 FIFA World Cup,M-1970-28,West Germany v England,1970-06-14,quarter-finals,not applicable,T-27,England,ENG,0,1,P-02882,Lee,Francis,7,10',10,0,first half,1,0,0,0
38,B-0038,WC-1970,1970 FIFA World Cup,M-1970-28,West Germany v England,1970-06-14,quarter-finals,not applicable,T-83,West Germany,DEU,1,0,P-02173,Müller,Gerd,13,18',18,0,first half,1,0,0,0
39,B-0039,WC-1970,1970 FIFA World Cup,M-1970-29,Brazil v Uruguay,1970-06-17,semi-finals,not applicable,T-81,Uruguay,URY,0,1,P-00668,Mujica,Juan,6,5',5,0,first half,1,0,0,0
40,B-0040,WC-1970,1970 FIFA World Cup,M-1970-29,Brazil v Uruguay,1970-06-17,semi-finals,not applicable,T-81,Uruguay,URY,0,1,P-06474,Fontes,Dagoberto,15,18',18,0,first half,1,0,0,0
41,B-0041,WC-1970,1970 FIFA World Cup,M-1970-29,Brazil v Uruguay,1970-06-17,semi-finals,not applicable,T-81,Uruguay,URY,0,1,P-03196,Maneiro,Ildo,10,37',37,0,first half,1,0,0,0
42,B-0042,WC-1970,1970 FIFA World Cup,M-1970-29,Brazil v Uruguay,1970-06-17,semi-finals,not applicable,T-09,Brazil,BRA,1,0,P-04742,Alberto,Carlos,4,44',44,0,first half,1,0,0,0
43,B-0043,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-39,Italy,ITA,1,0,P-05738,Rosato,Roberto,8,38',38,0,first half,1,0,0,0
44,B-0044,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-83,West Germany,DEU,0,1,P-08882,Overath,Wolfgang,12,53',53,0,second half,1,0,0,0
45,B-0045,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-83,West Germany,DEU,0,1,P-02173,Müller,Gerd,13,66',66,0,second half,1,0,0,0
46,B-0046,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-39,Italy,ITA,1,0,P-00800,Albertosi,Enrico,1,73',73,0,second half,1,0,0,0
47,B-0047,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-39,Italy,ITA,1,0,P-04369,De Sisti,Giancarlo,16,103',103,0,"extra time, first half",1,0,0,0
48,B-0048,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,1970-06-17,semi-finals,not applicable,T-39,Italy,ITA,1,0,P-08656,Domenghini,Angelo,13,114',114,0,"extra time, second half",1,0,0,0
49,B-0049,WC-1970,1970 FIFA World Cup,M-1970-31,West Germany v Uruguay,1970-06-20,third-place match,not applicable,T-83,West Germany,DEU,1,0,P-09813,Lorenz,Max,16,64',64,0,second half,1,0,0,0
50,B-0050,WC-1970,1970 FIFA World Cup,M-1970-31,West Germany v Uruguay,1970-06-20,third-place match,not applicable,T-81,Uruguay,URY,0,1,P-01017,Ubiña,Luis,4,89',89,0,second half,1,0,0,0
51,B-0051,WC-1970,1970 FIFA World Cup,M-1970-32,Brazil v Italy,1970-06-21,final,not applicable,T-39,Italy,ITA,0,1,P-01867,Burgnich,Tarcisio,2,27',27,0,first half,1,0,0,0
52,B-0052,WC-1970,1970 FIFA World Cup,M-1970-32,Brazil v Italy,1970-06-21,final,not applicable,T-09,Brazil,BRA,1,0,P-02923,Rivellino,not applicable,11,33',33,0,first half,1,0,0,0
53,B-0053,WC-1974,1974 FIFA World Cup,M-1974-01,Brazil v Yugoslavia,1974-06-13,group stage,Group 2,T-84,Yugoslavia,YUG,0,1,P-07916,Oblak,Branko,8,17',17,0,first half,1,0,0,0
54,B-0054,WC-1974,1974 FIFA World Cup,M-1974-01,Brazil v Yugoslavia,1974-06-13,group stage,Group 2,T-84,Yugoslavia,YUG,0,1,P-03364,Aćimović,Jovan,10,49',49,0,second half,1,0,0,0
55,B-0055,WC-1974,1974 FIFA World Cup,M-1974-02,West Germany v Chile,1974-06-14,group stage,Group 1,T-13,Chile,CHL,0,1,P-07348,Caszely,Carlos,7,13',13,0,first half,1,0,0,0
56,B-0056,WC-1974,1974 FIFA World Cup,M-1974-02,West Germany v Chile,1974-06-14,group stage,Group 1,T-13,Chile,CHL,0,1,P-05748,Reinoso,Carlos,10,47',47,0,second half,1,0,0,0
57,B-0057,WC-1974,1974 FIFA World Cup,M-1974-02,West Germany v Chile,1974-06-14,group stage,Group 1,T-13,Chile,CHL,0,1,P-01623,García,Rolando,2,59',59,0,second half,1,0,0,0
58,B-0058,WC-1974,1974 FIFA World Cup,M-1974-02,West Germany v Chile,1974-06-14,group stage,Group 1,T-13,Chile,CHL,0,1,P-07348,Caszely,Carlos,7,67',67,0,second half,0,1,0,1
59,B-0059,WC-1974,1974 FIFA World Cup,M-1974-03,East Germany v Australia,1974-06-14,group stage,Group 1,T-23,East Germany,DDR,1,0,P-03578,Wätzlich,Siegmar,12,32',32,0,first half,1,0,0,0
60,B-0060,WC-1974,1974 FIFA World Cup,M-1974-03,East Germany v Australia,1974-06-14,group stage,Group 1,T-23,East Germany,DDR,1,0,P-04297,Vogel,Eberhard,15,58',58,0,second half,1,0,0,0
61,B-0061,WC-1974,1974 FIFA World Cup,M-1974-03,East Germany v Australia,1974-06-14,group stage,Group 1,T-23,East Germany,DDR,1,0,P-03444,Kische,Gerd,18,61',61,0,second half,1,0,0,0
62,B-0062,WC-1974,1974 FIFA World Cup,M-1974-04,Zaire v Scotland,1974-06-14,group stage,Group 2,T-85,Zaire,COD,1,0,P-05342,Mantantu,Kidumu,10,40',40,0,first half,1,0,0,0
63,B-0063,WC-1974,1974 FIFA World Cup,M-1974-04,Zaire v Scotland,1974-06-14,group stage,Group 2,T-62,Scotland,SCO,0,1,P-05381,Holton,Jim,5,48',48,0,second half,1,0,0,0
64,B-0064,WC-1974,1974 FIFA World Cup,M-1974-06,Uruguay v Netherlands,1974-06-15,group stage,Group 3,T-81,Uruguay,URY,1,0,P-09325,Mantegazza,Walter,18,25',25,0,first half,1,0,0,0
65,B-0065,WC-1974,1974 FIFA World Cup,M-1974-06,Uruguay v Netherlands,1974-06-15,group stage,Group 3,T-81,Uruguay,URY,1,0,P-08295,Forlán,Pablo,4,50',50,0,second half,1,0,0,0
66,B-0066,WC-1974,1974 FIFA World Cup,M-1974-06,Uruguay v Netherlands,1974-06-15,group stage,Group 3,T-81,Uruguay,URY,1,0,P-05814,Masnik,Juan Carlos,3,65',65,0,second half,1,0,0,0
67,B-0067,WC-1974,1974 FIFA World Cup,M-1974-06,Uruguay v Netherlands,1974-06-15,group stage,Group 3,T-81,Uruguay,URY,1,0,P-06276,Montero Castillo,Julio,5,69',69,0,second half,0,1,0,1
68,B-0068,WC-1974,1974 FIFA World Cup,M-1974-07,Italy v Haiti,1974-06-15,group stage,Group 4,T-32,Haiti,HTI,0,1,P-00994,Bayonne,Pierre,6,65',65,0,second half,1,0,0,0
69,B-0069,WC-1974,1974 FIFA World Cup,M-1974-08,Poland v Argentina,1974-06-15,group stage,Group 4,T-03,Argentina,ARG,0,1,P-05455,Perfumo,Roberto,14,21',21,0,first half,1,0,0,0
70,B-0070,WC-1974,1974 FIFA World Cup,M-1974-08,Poland v Argentina,1974-06-15,group stage,Group 4,T-03,Argentina,ARG,0,1,P-09455,Babington,Carlos,3,47',47,0,second half,1,0,0,0
71,B-0071,WC-1974,1974 FIFA World Cup,M-1974-10,Chile v East Germany,1974-06-18,group stage,Group 1,T-13,Chile,CHL,1,0,P-07588,Véliz,Leonardo,11,56',56,0,second half,1,0,0,0
72,B-0072,WC-1974,1974 FIFA World Cup,M-1974-10,Chile v East Germany,1974-06-18,group stage,Group 1,T-13,Chile,CHL,1,0,P-08063,Páez,Guillermo,16,60',60,0,second half,1,0,0,0
73,B-0073,WC-1974,1974 FIFA World Cup,M-1974-10,Chile v East Germany,1974-06-18,group stage,Group 1,T-23,East Germany,DDR,0,1,P-03444,Kische,Gerd,18,65',65,0,second half,1,0,0,0
74,B-0074,WC-1974,1974 FIFA World Cup,M-1974-11,Scotland v Brazil,1974-06-18,group stage,Group 2,T-09,Brazil,BRA,0,1,P-02923,Rivellino,not applicable,10,35',35,0,first half,1,0,0,0
75,B-0075,WC-1974,1974 FIFA World Cup,M-1974-11,Scotland v Brazil,1974-06-18,group stage,Group 2,T-09,Brazil,BRA,0,1,P-04798,Chagas,Marinho,6,81',81,0,second half,1,0,0,0
76,B-0076,WC-1974,1974 FIFA World Cup,M-1974-11,Scotland v Brazil,1974-06-18,group stage,Group 2,T-09,Brazil,BRA,0,1,P-08407,Peres,Marinho,3,87',87,0,second half,1,0,0,0
77,B-0077,WC-1974,1974 FIFA World Cup,M-1974-12,Yugoslavia v Zaire,1974-06-18,group stage,Group 2,T-85,Zaire,COD,0,1,P-01721,Mulamba,Ndaye,13,22',22,0,first half,0,1,0,1
78,B-0078,WC-1974,1974 FIFA World Cup,M-1974-12,Yugoslavia v Zaire,1974-06-18,group stage,Group 2,T-84,Yugoslavia,YUG,1,0,P-06843,Hadžiabdić,Enver,3,54',54,0,second half,1,0,0,0
79,B-0079,WC-1974,1974 FIFA World Cup,M-1974-13,Bulgaria v Uruguay,1974-06-19,group stage,Group 3,T-10,Bulgaria,BGR,1,0,P-03442,Vasilev,Tsonyo,18,9',9,0,first half,1,0,0,0
80,B-0080,WC-1974,1974 FIFA World Cup,M-1974-13,Bulgaria v Uruguay,1974-06-19,group stage,Group 3,T-81,Uruguay,URY,0,1,P-06642,Espárrago,Víctor,8,44',44,0,first half,1,0,0,0
81,B-0081,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,1974-06-19,group stage,Group 3,T-72,Sweden,SWE,0,1,P-07284,Nordqvist,Björn,4,36',36,0,first half,1,0,0,0
82,B-0082,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,1974-06-19,group stage,Group 3,T-72,Sweden,SWE,0,1,P-01272,Persson,Örjan,21,68',68,0,second half,1,0,0,0
83,B-0083,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,1974-06-19,group stage,Group 3,T-46,Netherlands,NLD,1,0,P-07354,Rep,Johnny,16,72',72,0,second half,1,0,0,0
84,B-0084,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,1974-06-19,group stage,Group 3,T-72,Sweden,SWE,0,1,P-05195,Andersson,Björn,5,74',74,0,second half,1,0,0,0
85,B-0085,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,1974-06-19,group stage,Group 3,T-72,Sweden,SWE,0,1,P-01668,Grahn,Ove,6,86',86,0,second half,1,0,0,0
86,B-0086,WC-1974,1974 FIFA World Cup,M-1974-15,Argentina v Italy,1974-06-19,group stage,Group 4,T-39,Italy,ITA,0,1,P-04406,Benetti,Romeo,4,48',48,0,second half,1,0,0,0
87,B-0087,WC-1974,1974 FIFA World Cup,M-1974-15,Argentina v Italy,1974-06-19,group stage,Group 4,T-03,Argentina,ARG,1,0,P-09455,Babington,Carlos,3,54',54,0,second half,1,0,0,0
88,B-0088,WC-1974,1974 FIFA World Cup,M-1974-16,Haiti v Poland,1974-06-19,group stage,Group 4,T-32,Haiti,HTI,1,0,P-00994,Bayonne,Pierre,6,71',71,0,second half,1,0,0,0
89,B-0089,WC-1974,1974 FIFA World Cup,M-1974-17,Australia v Chile,1974-06-22,group stage,Group 1,T-04,Australia,AUS,1,0,P-02626,Richards,Ray,6,37',37,0,first half,1,0,0,0
90,B-0090,WC-1974,1974 FIFA World Cup,M-1974-17,Australia v Chile,1974-06-22,group stage,Group 1,T-04,Australia,AUS,1,0,P-02626,Richards,Ray,6,83',83,0,second half,0,1,0,1
91,B-0091,WC-1974,1974 FIFA World Cup,M-1974-18,Scotland v Yugoslavia,1974-06-22,group stage,Group 2,T-84,Yugoslavia,YUG,0,1,P-07916,Oblak,Branko,8,21',21,0,first half,1,0,0,0
92,B-0092,WC-1974,1974 FIFA World Cup,M-1974-18,Scotland v Yugoslavia,1974-06-22,group stage,Group 2,T-84,Yugoslavia,YUG,0,1,P-03958,Katalinski,Josip,5,55',55,0,second half,1,0,0,0
93,B-0093,WC-1974,1974 FIFA World Cup,M-1974-18,Scotland v Yugoslavia,1974-06-22,group stage,Group 2,T-62,Scotland,SCO,1,0,P-07243,Jordan,Joe,9,60',60,0,second half,1,0,0,0
94,B-0094,WC-1974,1974 FIFA World Cup,M-1974-18,Scotland v Yugoslavia,1974-06-22,group stage,Group 2,T-62,Scotland,SCO,1,0,P-03875,Hay,David,10,70',70,0,second half,1,0,0,0
95,B-0095,WC-1974,1974 FIFA World Cup,M-1974-18,Scotland v Yugoslavia,1974-06-22,group stage,Group 2,T-84,Yugoslavia,YUG,0,1,P-08558,Bajević,Dušan,19,70',70,0,second half,1,0,0,0
96,B-0096,WC-1974,1974 FIFA World Cup,M-1974-19,Zaire v Brazil,1974-06-22,group stage,Group 2,T-09,Brazil,BRA,0,1,P-09636,Mirandinha,not applicable,19,77',77,0,second half,1,0,0,0
97,B-0097,WC-1974,1974 FIFA World Cup,M-1974-19,Zaire v Brazil,1974-06-22,group stage,Group 2,T-85,Zaire,COD,1,0,P-07828,Ilunga,Mwepu,2,78',78,0,second half,1,0,0,0
98,B-0098,WC-1974,1974 FIFA World Cup,M-1974-20,East Germany v West Germany,1974-06-22,group stage,Group 1,T-23,East Germany,DDR,1,0,P-08971,Sparwasser,Jürgen,14,27',27,0,first half,1,0,0,0
99,B-0099,WC-1974,1974 FIFA World Cup,M-1974-20,East Germany v West Germany,1974-06-22,group stage,Group 1,T-23,East Germany,DDR,1,0,P-07032,Croy,Jürgen,1,81',81,0,second half,1,0,0,0
100,B-0100,WC-1974,1974 FIFA World Cup,M-1974-20,East Germany v West Germany,1974-06-22,group stage,Group 1,T-23,East Germany,DDR,1,0,P-03069,Kreische,Hans-Jürgen,10,84',84,0,second half,1,0,0,0
101,B-0101,WC-1974,1974 FIFA World Cup,M-1974-21,Bulgaria v Netherlands,1974-06-23,group stage,Group 3,T-46,Netherlands,NLD,0,1,P-00842,Jansen,Wim,6,5',5,0,first half,1,0,0,0
102,B-0102,WC-1974,1974 FIFA World Cup,M-1974-21,Bulgaria v Netherlands,1974-06-23,group stage,Group 3,T-46,Netherlands,NLD,0,1,P-08482,van Hanegem,Willem,3,22',22,0,first half,1,0,0,0
103,B-0103,WC-1974,1974 FIFA World Cup,M-1974-21,Bulgaria v Netherlands,1974-06-23,group stage,Group 3,T-46,Netherlands,NLD,0,1,P-02702,Cruyff,Johan,14,29',29,0,first half,1,0,0,0
104,B-0104,WC-1974,1974 FIFA World Cup,M-1974-21,Bulgaria v Netherlands,1974-06-23,group stage,Group 3,T-10,Bulgaria,BGR,1,0,P-04569,Velichkov,Stefko,4,44',44,0,first half,1,0,0,0
105,B-0105,WC-1974,1974 FIFA World Cup,M-1974-21,Bulgaria v Netherlands,1974-06-23,group stage,Group 3,T-10,Bulgaria,BGR,1,0,P-01236,Denev,Georgi,11,67',67,0,second half,1,0,0,0
106,B-0106,WC-1974,1974 FIFA World Cup,M-1974-22,Sweden v Uruguay,1974-06-23,group stage,Group 3,T-81,Uruguay,URY,0,1,P-07839,Jáuregui,Baudilio,2,21',21,0,first half,1,0,0,0
107,B-0107,WC-1974,1974 FIFA World Cup,M-1974-23,Argentina v Haiti,1974-06-23,group stage,Group 4,T-03,Argentina,ARG,1,0,P-09455,Babington,Carlos,3,26',26,0,first half,1,0,0,0
108,B-0108,WC-1974,1974 FIFA World Cup,M-1974-23,Argentina v Haiti,1974-06-23,group stage,Group 4,T-03,Argentina,ARG,1,0,P-05672,Heredia,Ramón,10,60',60,0,second half,1,0,0,0
109,B-0109,WC-1974,1974 FIFA World Cup,M-1974-23,Argentina v Haiti,1974-06-23,group stage,Group 4,T-32,Haiti,HTI,0,1,P-05600,Leandré,Fritz,16,85',85,0,second half,1,0,0,0
110,B-0110,WC-1974,1974 FIFA World Cup,M-1974-24,Poland v Italy,1974-06-23,group stage,Group 4,T-55,Poland,POL,1,0,P-08677,Kasperczak,Henryk,13,25',25,0,first half,1,0,0,0
111,B-0111,WC-1974,1974 FIFA World Cup,M-1974-24,Poland v Italy,1974-06-23,group stage,Group 4,T-39,Italy,ITA,0,1,P-02561,Boninsegna,Roberto,20,71',71,0,second half,1,0,0,0
112,B-0112,WC-1974,1974 FIFA World Cup,M-1974-24,Poland v Italy,1974-06-23,group stage,Group 4,T-55,Poland,POL,1,0,P-03832,Musiał,Adam,10,84',84,0,second half,1,0,0,0
113,B-0113,WC-1974,1974 FIFA World Cup,M-1974-25,Yugoslavia v West Germany,1974-06-26,second group stage,Group B,T-83,West Germany,DEU,0,1,P-08882,Overath,Wolfgang,12,16',16,0,first half,1,0,0,0
114,B-0114,WC-1974,1974 FIFA World Cup,M-1974-25,Yugoslavia v West Germany,1974-06-26,second group stage,Group B,T-83,West Germany,DEU,0,1,P-00117,Vogts,Berti,2,35',35,0,first half,1,0,0,0
115,B-0115,WC-1974,1974 FIFA World Cup,M-1974-25,Yugoslavia v West Germany,1974-06-26,second group stage,Group B,T-84,Yugoslavia,YUG,1,0,P-01864,Buljan,Ivan,2,36',36,0,first half,1,0,0,0
116,B-0116,WC-1974,1974 FIFA World Cup,M-1974-25,Yugoslavia v West Germany,1974-06-26,second group stage,Group B,T-84,Yugoslavia,YUG,1,0,P-06843,Hadžiabdić,Enver,3,61',61,0,second half,1,0,0,0
117,B-0117,WC-1974,1974 FIFA World Cup,M-1974-26,Brazil v East Germany,1974-06-26,second group stage,Group A,T-23,East Germany,DDR,0,1,P-02662,Hamann,Erich,17,11',11,0,first half,1,0,0,0
118,B-0118,WC-1974,1974 FIFA World Cup,M-1974-26,Brazil v East Germany,1974-06-26,second group stage,Group A,T-09,Brazil,BRA,1,0,P-02071,Jairzinho,not applicable,7,27',27,0,first half,1,0,0,0
119,B-0119,WC-1974,1974 FIFA World Cup,M-1974-26,Brazil v East Germany,1974-06-26,second group stage,Group A,T-09,Brazil,BRA,1,0,P-01158,Carpegiani,not applicable,17,28',28,0,first half,1,0,0,0
120,B-0120,WC-1974,1974 FIFA World Cup,M-1974-26,Brazil v East Germany,1974-06-26,second group stage,Group A,T-09,Brazil,BRA,1,0,P-01410,Dirceu,not applicable,21,75',75,0,second half,1,0,0,0
121,B-0121,WC-1974,1974 FIFA World Cup,M-1974-26,Brazil v East Germany,1974-06-26,second group stage,Group A,T-23,East Germany,DDR,0,1,P-08069,Streich,Joachim,11,84',84,0,second half,1,0,0,0
122,B-0122,WC-1974,1974 FIFA World Cup,M-1974-27,Netherlands v Argentina,1974-06-26,second group stage,Group A,T-46,Netherlands,NLD,1,0,P-01377,Neeskens,Johan,13,22',22,0,first half,1,0,0,0
123,B-0123,WC-1974,1974 FIFA World Cup,M-1974-27,Netherlands v Argentina,1974-06-26,second group stage,Group A,T-03,Argentina,ARG,0,1,P-05455,Perfumo,Roberto,14,35',35,0,first half,1,0,0,0
124,B-0124,WC-1974,1974 FIFA World Cup,M-1974-27,Netherlands v Argentina,1974-06-26,second group stage,Group A,T-46,Netherlands,NLD,1,0,P-07503,Suurbier,Wim,20,58',58,0,second half,1,0,0,0
