key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
24,P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed
25,P-77199,Abdulghani,Hussein,1977-01-21,0,0,1,0,0,2,"2002, 2006",https://en.wikipedia.org/wiki/Hussein_Sulaimani
26,P-73110,Abdulghani,Hussein,1977-01-23,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Hussein_Abdulghani
27,P-08125,Abdulhamid,Saud,1999-07-18,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Saud_Abdulhamid
28,P-03048,Abdullah,Majed,1959-11-01,0,0,0,0,1,1,1994,https://en.wikipedia.org/wiki/Majed_Abdullah
29,P-75724,Abdullahi,Shehu,1993-03-12,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Shehu_Abdullahi
30,P-53430,Abdulrahman,Fahad,1962-10-10,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Fahad_Abdulrahman
31,P-00148,Abe,Yuki,1981-09-06,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Yuki_Abe
32,P-56772,Abedzadeh,Ahmad Reza,1966-05-25,0,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Ahmad_Reza_Abedzadeh
33,P-80505,Abedzadeh,Amir,1993-04-26,0,1,0,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Amir_Abedzadeh
34,P-02805,Abega,Théophile,1954-07-09,0,0,0,1,0,1,1982,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Abega
35,P-85334,Abegglen,André,1909-03-07,0,0,0,0,1,2,"1934, 1938",https://en.wikipedia.org/wiki/Andr%C3%A9_Abegglen
36,P-99390,Abel,not applicable,1952-09-01,0,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Abel_Braga
37,P-24945,Abelardo,not applicable,1970-03-19,0,0,1,0,0,2,"1994, 1998",https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez
38,P-32023,Abeledo,Ramón,1937-04-29,0,0,0,1,0,1,1962,https://en.wikipedia.org/wiki/Ram%C3%B3n_Abeledo
39,P-58512,Abena,Ninon,1994-09-05,1,0,0,1,0,2,"2015, 2019",https://en.wikipedia.org/wiki/Ninon_Abena
40,P-96775,Abeso,Natalia,1986-09-05,1,0,0,1,0,1,2011,https://en.wikipedia.org/wiki/Natalia_Abeso
41,P-00685,Abid,Anad,1955-08-03,0,0,0,0,1,1,1986,https://en.wikipedia.org/wiki/Anad_Abid
42,P-04469,Abidal,Eric,1979-09-11,0,0,1,0,0,2,"2006, 2010",https://en.wikipedia.org/wiki/Eric_Abidal
43,P-72635,Abily,Camille,1984-12-05,1,0,0,1,0,2,"2011, 2015",https://en.wikipedia.org/wiki/Camille_Abily
44,P-98382,Ablanedo,Juan Carlos,1963-09-02,0,1,0,0,0,2,"1986, 1990",https://en.wikipedia.org/wiki/Juan_Carlos_Ablanedo
45,P-22858,Abonyi,Attila,1946-08-16,0,0,0,0,1,1,1974,https://en.wikipedia.org/wiki/Attila_Abonyi
46,P-53452,Aboubakar,Vincent,1992-01-22,0,0,0,0,1,3,"2010, 2014, 2022",https://en.wikipedia.org/wiki/Vincent_Aboubakar
47,P-48295,Aboukhlal,Zakaria,2000-02-18,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Zakaria_Aboukhlal
48,P-62807,Abouzeid,Taher,1962-04-10,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Taher_Abouzeid
49,P-04266,Abrahamsson,Henock,1909-10-29,0,1,0,0,0,1,1938,https://en.wikipedia.org/wiki/Henock_Abrahamsson
50,P-64134,Abramczik,Rüdiger,1956-02-18,0,0,0,0,1,1,1978,https://en.wikipedia.org/wiki/R%C3%BCdiger_Abramczik
51,P-51300,Abrami,Lahcen,1969-12-31,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Lahcen_Abrami
52,P-91786,Abreu,Marco,1974-12-08,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Marco_Abreu
53,P-64372,Abreu,Sebastián,1976-10-17,0,0,0,0,1,2,"2002, 2010",https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Abreu
54,P-95918,Aby,Jessica,1998-06-16,1,0,0,1,0,1,2015,https://en.wikipedia.org/wiki/Jessica_Aby
55,P-12036,Acácio,not applicable,1959-01-20,0,1,0,0,0,1,1990,https://en.wikipedia.org/wiki/Ac%C3%A1cio_(footballer)
56,P-13103,Acasuzo,Eusebio,1952-04-08,0,1,0,0,0,1,1982,https://en.wikipedia.org/wiki/Eusebio_Acasuzo
57,P-17067,Aceros,Germán,1938-09-30,0,0,0,0,1,1,1962,https://en.wikipedia.org/wiki/Germ%C3%A1n_Aceros
58,P-75402,Aceval,Danilo,1975-09-15,0,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Danilo_Aceval
59,P-81409,Acevedo,David,1937-02-20,0,0,1,0,0,1,1958,https://en.wikipedia.org/wiki/David_Acevedo
60,P-48167,Acevedo,Eduardo Mario,1959-09-25,0,0,1,0,0,1,1986,https://en.wikipedia.org/wiki/Eduardo_Mario_Acevedo
61,P-28429,Acevedo,Elmer,1946-02-24,0,0,0,0,1,1,1970,https://en.wikipedia.org/wiki/Elmer_Acevedo
62,P-01989,Achá,Alberto,1917-02-18,0,0,1,0,0,1,1950,https://en.wikipedia.org/wiki/Alberto_Ach%C3%A1
63,P-29870,Achilier,Gabriel,1985-03-24,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Gabriel_Achilier
64,P-17442,Achúcarro,Ignacio,1936-07-31,0,0,1,0,0,1,1958,https://en.wikipedia.org/wiki/Ignacio_Ach%C3%BAcarro
65,P-67954,Aćimović,Jovan,1948-06-21,0,0,0,1,0,1,1974,https://en.wikipedia.org/wiki/Jovan_A%C4%87imovi%C4%87
66,P-44943,Ačimovič,Milenko,1977-02-15,0,0,0,0,1,1,2002,https://en.wikipedia.org/wiki/Milenko_A%C4%8Dimovi%C4%8D
67,P-65320,Acosta,Jhonny,1983-07-21,0,0,1,0,0,2,"2014, 2018",https://en.wikipedia.org/wiki/Jhonny_Acosta
68,P-86410,Acosta,Kellyn,1995-07-24,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Kellyn_Acosta
69,P-52241,Acosta,Wendy,1989-12-19,1,0,0,0,1,1,2015,https://en.wikipedia.org/wiki/Wendy_Acosta
70,P-63370,Acquah,Afriyie,1992-01-05,0,0,0,1,0,1,2014,https://en.wikipedia.org/wiki/Afriyie_Acquah
71,P-43934,Acuña,Clarence,1975-02-08,0,0,0,1,0,1,1998,https://en.wikipedia.org/wiki/Clarence_Acu%C3%B1a
72,P-79480,Acuña,Juan,1923-01-11,0,1,0,0,0,1,1950,https://en.wikipedia.org/wiki/Juan_Acu%C3%B1a
73,P-73712,Acuña,Marcos,1991-10-28,0,0,1,1,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Marcos_Acu%C3%B1a
74,P-17884,Acuña,Roberto,1972-03-25,0,0,0,1,0,3,"1998, 2002, 2006",https://en.wikipedia.org/wiki/Roberto_Acu%C3%B1a
75,P-21395,Adam,Glen,1959-05-22,0,0,1,0,0,1,1982,https://en.wikipedia.org/wiki/Glen_Adam
76,P-26945,Adamache,Stere,1941-08-17,0,1,0,0,0,1,1970,https://en.wikipedia.org/wiki/Stere_Adamache
77,P-34289,Adamec,Jozef,1942-02-26,0,0,0,0,1,2,"1962, 1970",https://en.wikipedia.org/wiki/Jozef_Adamec
78,P-24941,Adamolekun,Olufolasade,2001-02-21,1,0,0,1,0,1,2019,https://en.wikipedia.org/wiki/Olufolasade_Adamolekun
79,P-92795,Adams,Ferdinand,1903-05-03,0,0,0,0,1,1,1930,https://en.wikipedia.org/wiki/Ferdinand_Adams
80,P-40630,Adams,Stephen,1989-09-28,0,1,0,0,0,1,2014,https://en.wikipedia.org/wiki/Stephen_Adams_(footballer)
81,P-54003,Adams,Tony,1966-10-10,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Tony_Adams
82,P-14151,Adams,Tyler,1999-02-14,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Tyler_Adams
83,P-70505,Adamson,Jimmy,1929-04-04,0,0,0,1,0,1,1962,https://en.wikipedia.org/wiki/Jimmy_Adamson
84,P-56943,Adãozinho,not applicable,1923-04-02,0,0,0,0,1,1,1950,https://en.wikipedia.org/wiki/Ad%C3%A3o_Nunes_Dornelles
85,P-77757,Addo,Eric,1978-11-12,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Eric_Addo
86,P-23846,Addo,Otto,1975-06-09,0,0,0,0,1,1,2006,https://en.wikipedia.org/wiki/Otto_Addo
87,P-56284,Addy,Lee,1985-09-26,0,0,1,0,0,1,2010,https://en.wikipedia.org/wiki/Lee_Addy
88,P-48772,Adebayor,Emmanuel,1984-02-26,0,0,0,0,1,1,2006,https://en.wikipedia.org/wiki/Emmanuel_Adebayor
89,P-55821,Adekugbe,Sam,1995-01-16,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Sam_Adekugbe
90,P-03894,Adelardo,not applicable,1939-09-26,0,0,0,1,0,2,"1962, 1966",https://en.wikipedia.org/wiki/Adelardo_Rodr%C3%ADguez
91,P-42799,Adeleye,Dele,1988-12-25,0,0,1,0,0,1,2010,https://en.wikipedia.org/wiki/Dele_Adeleye
92,P-49381,Ademir,not applicable,1922-11-08,0,0,0,0,1,1,1950,https://en.wikipedia.org/wiki/Ademir_Marques_de_Menezes
93,P-56969,Adepoju,Mutiu,1970-12-22,0,0,0,1,0,3,"1994, 1998, 2002",https://en.wikipedia.org/wiki/Mutiu_Adepoju
94,P-05901,Adeyemi,Karim,2002-01-18,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Karim_Adeyemi
95,P-65216,Adiyiah,Dominic,1989-11-29,0,0,0,0,1,1,2010,https://en.wikipedia.org/wiki/Dominic_Adiyiah
96,P-17027,Adjei,Sammy,1980-09-01,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Sammy_Adjei
97,P-47010,Ado,not applicable,1946-07-04,0,1,0,0,0,1,1970,https://en.wikipedia.org/wiki/Ado_(footballer)
98,P-67189,Adomah,Albert,1987-12-13,0,0,0,1,0,1,2014,https://en.wikipedia.org/wiki/Albert_Adomah
99,P-40825,Adriana,not applicable,1968-12-26,1,0,0,0,1,1,1991,"https://en.wikipedia.org/wiki/Adriana_(footballer,_born_1968)"
100,P-20372,Adriano,not applicable,1982-02-17,0,0,0,0,1,1,2006,"https://en.wikipedia.org/wiki/Adriano_(footballer,_born_1982)"
101,P-47833,Advíncula,Luis,1990-03-02,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Luis_Adv%C3%ADncula
102,P-32222,Aebischer,Michel,1997-01-06,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Michel_Aebischer
103,P-80329,Aeby,Georges,1910-09-10,0,0,0,0,1,1,1938,https://en.wikipedia.org/wiki/Georges_Aeby
104,P-40938,Aeby,Paul,1910-09-10,0,0,0,0,1,1,1938,https://en.wikipedia.org/wiki/Paul_Aeby
105,P-09681,Aedo,Yanara,1993-08-05,1,0,0,0,1,1,2019,https://en.wikipedia.org/wiki/Yanara_Aedo
106,P-81141,Afellay,Ibrahim,1986-04-02,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Ibrahim_Afellay
107,P-05368,Afful,Harrison,1986-06-24,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Harrison_Afful
108,P-47319,Afif,Akram,1996-11-18,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Akram_Afif
109,P-55727,Afolabi,Rabiu,1980-04-18,0,0,1,0,0,2,"2002, 2010",https://en.wikipedia.org/wiki/Rabiu_Afolabi
110,P-76618,Afonin,Valentin,1939-12-22,0,0,1,1,0,2,"1966, 1970",https://en.wikipedia.org/wiki/Valentin_Afonin
111,P-00279,Afonsinho,not applicable,1914-03-08,0,0,0,1,0,1,1938,"https://en.wikipedia.org/wiki/Afonsinho_(footballer,_born_1914)"
112,P-13639,Afriyie,Daniel,2001-06-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Daniel_Afriyie
113,P-30416,Agassa,Kossi,1978-07-02,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Kossi_Agassa
114,P-53035,Agbim,Chigozie,1984-11-28,0,1,0,0,0,1,2014,https://en.wikipedia.org/wiki/Chigozie_Agbim
115,P-68499,Agbo,Hans,1967-09-26,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Hans_Agbo
116,P-08310,Agboh,Kuami,1977-12-28,0,0,0,1,0,1,2006,https://en.wikipedia.org/wiki/Kuami_Agboh
117,P-77276,Agbonavbare,Wilfred,1966-10-05,0,1,0,0,0,1,1994,https://en.wikipedia.org/wiki/Wilfred_Agbonavbare
118,P-52264,Agger,Daniel,1984-12-12,0,0,1,0,0,1,2010,https://en.wikipedia.org/wiki/Daniel_Agger
119,P-74228,Aghahowa,Julius,1982-02-12,0,0,0,0,1,1,2002,https://en.wikipedia.org/wiki/Julius_Aghahowa
120,P-15991,Agnew,Lindsay,1995-03-31,1,0,1,0,0,1,2019,https://en.wikipedia.org/wiki/Lindsay_Agnew
121,P-72797,Agoos,Jeff,1968-05-02,0,0,1,0,0,2,"1998, 2002",https://en.wikipedia.org/wiki/Jeff_Agoos
122,P-44105,Agrebi,Hamadi,1951-03-20,0,0,0,1,0,1,1978,https://en.wikipedia.org/wiki/Mohamed_Ben_Rehaiem
123,P-25342,Agu,Alloysius,1967-07-12,0,1,0,0,0,1,1994,https://en.wikipedia.org/wiki/Alloysius_Agu
124,P-77856,Águas,Rui,1960-04-28,0,0,0,0,1,1,1986,https://en.wikipedia.org/wiki/Rui_%C3%81guas_(footballer)
125,P-47490,Aguerd,Nayef,1996-03-30,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Nayef_Aguerd
126,P-17292,Agüero,Juan Bautista,1935-06-24,0,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Juan_Bautista_Ag%C3%BCero
127,P-36870,Agüero,Sergio,1988-06-02,0,0,0,0,1,3,"2010, 2014, 2018",https://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero
128,P-75197,Aguie,Sophie,1996-12-31,1,0,1,0,0,1,2015,https://en.wikipedia.org/wiki/Sophie_Aguie
129,P-76705,Aguilar,Abel,1985-01-06,0,0,0,1,0,2,"2014, 2018",https://en.wikipedia.org/wiki/Abel_Aguilar
130,P-72265,Aguilar,Lorena,1985-07-06,1,0,1,0,0,1,2015,https://en.wikipedia.org/wiki/Lorena_Aguilar
131,P-01835,Aguilar,Paul,1986-03-06,0,0,1,0,0,2,"2010, 2014",https://en.wikipedia.org/wiki/Paul_Aguilar
132,P-43460,Aguilar,Samuel,1933-03-16,0,1,0,0,0,1,1958,https://en.wikipedia.org/wiki/Samuel_Aguilar
133,P-44957,Aguilera,Brandon,2003-06-28,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Brandon_Aguilera
134,P-57189,Aguilera,Carlos,1964-09-21,0,0,0,0,1,2,"1986, 1990",https://en.wikipedia.org/wiki/Carlos_Aguilera_(Uruguayan_footballer)
135,P-08700,Aguilera,Carlos,1969-05-22,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Carlos_Aguilera_(Spanish_footballer)
136,P-11212,Aguilera,Edgar,1975-07-28,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Edgar_Aguilera
137,P-95800,Aguilera,Juan,1903-10-23,0,0,0,0,1,1,1930,https://en.wikipedia.org/wiki/Juan_Aguilera_(Chilean_footballer)
138,P-17727,Aguilera,Oscar,1935-03-11,0,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Oscar_Aguilera
139,P-23101,Aguinaga,Álex,1968-07-09,0,0,0,1,0,1,2002,https://en.wikipedia.org/wiki/%C3%81lex_Aguinaga
140,P-33814,Aguirre,Francisco,not available,0,0,0,1,0,1,1930,https://en.wikipedia.org/wiki/Francisco_Aguirre_(Paraguayan_footballer)
141,P-59792,Aguirre,Javier,1958-12-01,0,0,0,1,0,1,1986,https://en.wikipedia.org/wiki/Javier_Aguirre
142,P-79898,Agyei,Daniel,1989-11-10,0,1,0,0,0,1,2010,https://en.wikipedia.org/wiki/Daniel_Agyei
143,P-89904,Agyemang-Badu,Emmanuel,1990-12-02,0,0,0,1,0,1,2014,https://en.wikipedia.org/wiki/Emmanuel_Agyemang-Badu
144,P-30429,Ahlström,Thomas,1952-07-17,0,0,0,1,0,1,1974,https://en.wikipedia.org/wiki/Thomas_Ahlstr%C3%B6m
145,P-38468,Åhlund,Olle,1920-08-22,0,0,0,1,0,1,1950,https://en.wikipedia.org/wiki/Olle_%C3%85hlund
146,P-37948,Ahmadi,Rahman,1980-07-30,0,1,0,0,0,1,2014,https://en.wikipedia.org/wiki/Rahman_Ahmadi
147,P-91705,Åhman,Ronald,1957-01-31,0,0,0,1,0,1,1978,https://en.wikipedia.org/wiki/Ronald_%C3%85hman
148,P-33804,Ahmed,Homam,1999-08-25,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Homam_Ahmed
149,P-27915,Ahmed,Issah,1982-05-24,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Issah_Gabriel_Ahmed
150,P-26616,Ahn,Jung-hwan,1976-01-27,0,0,0,0,1,3,"2002, 2006, 2010",https://en.wikipedia.org/wiki/Ahn_Jung-hwan
151,P-29011,Ahorlu,Stephen,1988-09-05,0,1,0,0,0,1,2010,https://en.wikipedia.org/wiki/Stephen_Ahorlu
152,P-34039,Ahumada,Sergio,1948-10-02,0,0,0,0,1,1,1974,https://en.wikipedia.org/wiki/Sergio_Ahumada
153,P-09991,Aidoo,Joseph,1995-09-29,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Joseph_Aidoo_(Ghanaian_footballer)
154,P-25824,Aigbogun,Eseosa,1993-05-23,1,0,0,0,1,1,2015,https://en.wikipedia.org/wiki/Eseosa_Aigbogun
155,P-94180,Aighewi,Amenze,1991-11-21,1,0,0,0,1,1,2011,https://en.wikipedia.org/wiki/Amenze_Aighewi
156,P-22801,Aigner,Ernst,1966-10-31,0,0,1,0,0,1,1990,https://en.wikipedia.org/wiki/Ernst_Aigner
157,P-25906,Aimar,Pablo,1979-11-03,0,0,0,1,0,2,"2002, 2006",https://en.wikipedia.org/wiki/Pablo_Aimar
158,P-50085,Ainon,Phancha,1992-01-26,1,0,1,0,0,2,"2015, 2019",https://en.wikipedia.org/wiki/Ainon_Phancha
159,P-35569,Aird,Jock,1926-02-18,0,0,1,0,0,1,1954,https://en.wikipedia.org/wiki/Jock_Aird
160,P-66972,Airosa,Marco,1984-08-06,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Marco_Airosa
161,P-58822,Aït Bennasser,Youssef,1996-07-07,0,0,0,1,0,1,2018,https://en.wikipedia.org/wiki/Youssef_A%C3%AFt_Bennasser
162,P-08096,Aitken,Roy,1958-11-24,0,0,1,0,0,2,"1986, 1990",https://en.wikipedia.org/wiki/Roy_Aitken
163,P-73175,Aiyenugba,Dele,1983-11-20,0,1,0,0,0,1,2010,https://en.wikipedia.org/wiki/Dele_Aiyenugba
164,P-34716,Ajayi,Florence,1977-04-28,1,0,1,0,0,2,"1999, 2003",https://en.wikipedia.org/wiki/Florence_Ajayi
165,P-30731,Ajibade,Rasheedat,1999-12-08,1,0,0,0,1,1,2019,https://en.wikipedia.org/wiki/Rasheedat_Ajibade
166,P-76883,Ajunwa,Chioma,1971-12-25,1,0,0,0,1,1,1991,https://en.wikipedia.org/wiki/Chioma_Ajunwa
167,P-62839,Akaba,Henriette,1992-06-07,1,0,0,1,1,2,"2015, 2019",https://en.wikipedia.org/wiki/Henriette_Akaba
168,P-97929,Akaffou,Rita,1986-12-05,1,0,0,1,0,1,2015,https://en.wikipedia.org/wiki/Rita_Akaffou
169,P-48722,Akalé,Kanga,1981-03-07,0,0,0,1,0,1,2006,https://en.wikipedia.org/wiki/Kanga_Akal%C3%A9
170,P-23925,Akanji,Manuel,1995-07-19,0,0,1,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Manuel_Akanji
171,P-64438,Aké,Nathan,1995-02-18,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Nathan_Ak%C3%A9
172,P-54794,Akers,Michelle,1966-02-01,1,0,0,1,1,3,"1991, 1995, 1999",https://en.wikipedia.org/wiki/Michelle_Akers
173,P-41399,Akgün,Kaçmaz,1935-02-19,0,0,1,0,0,1,1954,https://en.wikipedia.org/wiki/Ka%C3%A7maz_Akg%C3%BCn
174,P-47488,Akid,Mohamed,1949-07-05,0,0,0,0,1,1,1978,https://en.wikipedia.org/wiki/Mohamed_Akid
175,P-93242,Akide,Mercy,1975-08-26,1,0,0,1,1,3,"1995, 1999, 2003",https://en.wikipedia.org/wiki/Mercy_Akide
176,P-95453,Akinfeev,Igor,1986-04-08,0,1,0,0,0,2,"2014, 2018",https://en.wikipedia.org/wiki/Igor_Akinfeev
177,P-34956,Akita,Yutaka,1970-08-06,0,0,1,0,0,2,"1998, 2002",https://en.wikipedia.org/wiki/Yutaka_Akita
178,P-01401,Akoto,Eric,1980-07-20,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Eric_Akoto
179,P-42905,Akpa Akpro,Jean-Daniel,1992-10-11,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Jean-Daniel_Akpa_Akpro
180,P-38185,Akpagu,Louisa,1974-12-22,1,1,0,0,0,1,1995,https://en.wikipedia.org/wiki/Louisa_Akpagu
181,P-83020,Akpeyi,Daniel,1986-03-08,0,1,0,0,0,1,2018,https://en.wikipedia.org/wiki/Daniel_Akpeyi
182,P-07482,Akwá,not applicable,1977-05-30,0,0,0,0,1,1,2006,https://en.wikipedia.org/wiki/Akw%C3%A1
183,P-48288,Akwuegbu,Benedict,1974-11-03,0,0,0,0,1,1,2002,https://en.wikipedia.org/wiki/Benedict_Akwuegbu
184,P-79130,Akyel,Fatih,1977-12-26,0,0,1,0,0,1,2002,https://en.wikipedia.org/wiki/Fatih_Akyel
185,P-76864,Al-Abed,Nawaf,1990-01-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Nawaf_Al-Abed
186,P-45581,Al-Aboud,Abdulrahman,1995-06-01,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Abdulrahman_Al-Aboud
187,P-12335,Al-Amri,Abdulelah,1997-01-15,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Abdulelah_Al-Amri
188,P-22789,Al-Anazi,Awad,1968-09-24,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Awad_Al-Anazi
189,P-88607,Al-Anberi,Abdulaziz,1954-01-03,0,0,0,0,1,1,1982,https://en.wikipedia.org/wiki/Abdulaziz_Al-Anberi
190,P-45367,Al-Antaif,Tisir,1974-02-16,0,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Tisir_Al-Antaif
191,P-67035,Al-Aqidi,Nawaf,2000-05-10,0,1,0,0,0,1,2022,https://en.wikipedia.org/wiki/Nawaf_Al-Aqidi
192,P-58952,Al-Bahri,Ahmed,1980-09-18,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Ahmed_Al-Bahri
193,P-23379,Al-Bishi,Fahad,1965-09-10,0,0,0,1,0,1,1994,https://en.wikipedia.org/wiki/Fahad_Al-Bishi
194,P-60833,Al-Bishi,Mohamed,1987-05-03,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Mohamed_Al-Bishi
195,P-94422,Al-Breik,Mohammed,1992-09-15,0,0,1,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Mohammed_Al-Breik
196,P-87284,Al-Bulaihi,Ali,1989-11-21,0,0,1,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Ali_Al-Bulaihi
197,P-51432,Al-Buloushi,Abdulaziz,1962-12-04,0,0,0,0,1,1,1982,https://en.wikipedia.org/wiki/Abdulaziz_Al-Buloushi
198,P-49203,Al-Buloushi,Abdullah,1960-02-16,0,0,0,0,1,1,1982,https://en.wikipedia.org/wiki/Abdullah_Al-Buloushi
