key_id,team_id,team_name,team_code,mens_team,womens_team,federation_name,region_name,confederation_id,confederation_name,confederation_code,mens_team_wikipedia_link,womens_team_wikipedia_link,federation_wikipedia_link
17,T-17,Costa Rica,CRI,1,1,Costa Rican Football Federation,Central America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team,https://en.wikipedia.org/wiki/Costa_Rica_women's_national_football_team,https://en.wikipedia.org/wiki/Costa_Rican_Football_Federation
18,T-18,Croatia,HRV,1,0,Croatian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Croatia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Croatian_Football_Federation
19,T-19,Cuba,CUB,1,0,Football Association of Cuba,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Cuba_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Cuba
20,T-20,Czech Republic,CZE,1,0,Football Association of the Czech Republic,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
21,T-21,Czechoslovakia,CSK,1,0,Football Association of the Czechoslovakia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Czechoslovakia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
22,T-22,Denmark,DNK,1,1,Danish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Denmark_national_football_team,https://en.wikipedia.org/wiki/Denmark_women's_national_football_team,https://en.wikipedia.org/wiki/Danish_Football_Association
23,T-23,Dutch East Indies,IDN,1,0,Football Association of Indonesia,South East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Indonesia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Indonesia
24,T-24,East Germany,DDR,1,0,Football Association of East Germany,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/East_Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/Deutscher_Fußball-Verband_der_DDR
25,T-25,Ecuador,ECU,1,1,Ecuadorian Football Federation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Ecuador_national_football_team,https://en.wikipedia.org/wiki/Ecuador_women's_national_football_team,https://en.wikipedia.org/wiki/Ecuadorian_Football_Federation
26,T-26,Egypt,EGY,1,0,Egyptian Football Association,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Egypt_national_football_team,not applicable,https://en.wikipedia.org/wiki/Egyptian_Football_Association
27,T-27,El Salvador,SLV,1,0,Salvadorian Football Federation,Central America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/El_Salvador_national_football_team,not applicable,https://en.wikipedia.org/wiki/Salvadoran_Football_Federation
28,T-28,England,ENG,1,1,The Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/England_national_football_team,https://en.wikipedia.org/wiki/England_women's_national_football_team,https://en.wikipedia.org/wiki/The_Football_Association
29,T-29,Equatorial Guinea,GNQ,0,1,Equatoguinean Football Federation,Africa,CF-2,Confederation of African Football,CAF,not applicable,https://en.wikipedia.org/wiki/Equatorial_Guinea_women's_national_football_team,https://en.wikipedia.org/wiki/Equatoguinean_Football_Federation
30,T-30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
31,T-31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
32,T-32,Ghana,GHA,1,1,Ghana Football Association,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Ghana_national_football_team,https://en.wikipedia.org/wiki/Ghana_women's_national_football_team,https://en.wikipedia.org/wiki/Ghana_Football_Association
33,T-33,Greece,GRC,1,0,Hellenic Football Associaiton,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Greece_national_football_team,not applicable,https://en.wikipedia.org/wiki/Hellenic_Football_Federation
34,T-34,Haiti,HTI,1,0,Haitian Football Federation,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Haiti_national_football_team,not applicable,https://en.wikipedia.org/wiki/Haitian_Football_Federation
35,T-35,Honduras,HND,1,0,National Autonomous Federation of Football of Honduras,Central America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Honduras_national_football_team,not applicable,https://en.wikipedia.org/wiki/National_Autonomous_Federation_of_Football_of_Honduras
36,T-36,Hungary,HUN,1,0,Hungary Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Hungary_national_football_team,not applicable,https://en.wikipedia.org/wiki/Hungarian_Football_Federation
37,T-37,Iceland,ISL,1,0,Football Association of Iceland,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Iceland_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Iceland
38,T-38,Iran,IRN,1,0,Football Federation Islamic Republic of Iran,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Iran_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Federation_Islamic_Republic_of_Iran
39,T-39,Iraq,IRQ,1,0,Iraq Football Association,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Iraq_national_football_team,not applicable,https://en.wikipedia.org/wiki/Iraq_Football_Association
40,T-40,Israel,ISR,1,0,Israel Football Association,Middle East,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Israel_national_football_team,not applicable,https://en.wikipedia.org/wiki/Israel_Football_Association
41,T-41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
42,T-42,Ivory Coast,CIV,1,1,Ivorian Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Ivory_Coast_national_football_team,https://en.wikipedia.org/wiki/Ivory_Coast_women's_national_football_team,https://en.wikipedia.org/wiki/Ivorian_Football_Federation
43,T-43,Jamaica,JAM,1,1,Jamaica Football Federation,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Jamaica_national_football_team,https://en.wikipedia.org/wiki/Jamaica_women's_national_football_team,https://en.wikipedia.org/wiki/Jamaica_Football_Federation
44,T-44,Japan,JPN,1,1,Japan Football Association,East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Japan_national_football_team,https://en.wikipedia.org/wiki/Japan_women's_national_football_team,https://en.wikipedia.org/wiki/Japan_Football_Association
45,T-45,Kuwait,KWT,1,0,Kuwait Football Association,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Kuwait_national_football_team,not applicable,https://en.wikipedia.org/wiki/Kuwait_Football_Association
46,T-46,Mexico,MEX,1,1,Mexican Football Federation,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Mexico_national_football_team,https://en.wikipedia.org/wiki/Mexico_women's_national_football_team,https://en.wikipedia.org/wiki/Mexican_Football_Federation
47,T-47,Morocco,MAR,1,0,Royal Moroccan Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Morocco_national_football_team,not applicable,https://en.wikipedia.org/wiki/Royal_Moroccan_Football_Federation
48,T-48,Netherlands,NLD,1,1,Royal Dutch Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Netherlands_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
49,T-49,New Zealand,NZL,1,1,New Zealand Football,Oceania,CF-5,Oceania Football Confederation,OFC,https://en.wikipedia.org/wiki/New_Zealand_national_football_team,https://en.wikipedia.org/wiki/New_Zealand_women's_national_football_team,https://en.wikipedia.org/wiki/New_Zealand_Football
50,T-50,Nigeria,NGA,1,1,Nigeria Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Nigeria_national_football_team,https://en.wikipedia.org/wiki/Nigeria_women's_national_football_team,https://en.wikipedia.org/wiki/Nigeria_Football_Federation
51,T-51,North Korea,PRK,1,1,Democratic People's Republic of Korea Football Association,East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/North_Korea_national_football_team,https://en.wikipedia.org/wiki/North_Korea_women's_national_football_team,https://en.wikipedia.org/wiki/DPR_Korea_Football_Association
52,T-52,Northern Ireland,NIR,1,0,Irish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Northern_Ireland_national_football_team,not applicable,https://en.wikipedia.org/wiki/Irish_Football_Association
53,T-53,Norway,NOR,1,1,Norwegian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Norway_national_football_team,https://en.wikipedia.org/wiki/Norway_women's_national_football_team,https://en.wikipedia.org/wiki/Norwegian_Football_Federation
54,T-54,Panama,PAN,1,0,Panamanian Football Federation,Central America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Panama_national_football_team,not applicable,https://en.wikipedia.org/wiki/Panamanian_Football_Federation
55,T-55,Paraguay,PRY,1,0,Paraguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Paraguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Paraguayan_Football_Association
56,T-56,Peru,PER,1,0,Peruvian Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Peru_national_football_team,not applicable,https://en.wikipedia.org/wiki/Peruvian_Football_Federation
57,T-57,Poland,POL,1,0,Polish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Poland_national_football_team,not applicable,https://en.wikipedia.org/wiki/Polish_Football_Association
58,T-58,Portugal,PRT,1,0,Portuguese Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Portugal_national_football_team,not applicable,https://en.wikipedia.org/wiki/Portuguese_Football_Federation
59,T-59,Qatar,QAT,1,0,Qatar Football Association,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Qatar_national_football_team,not applicable,https://en.wikipedia.org/wiki/Qatar_Football_Association
60,T-60,Republic of Ireland,IRL,1,0,Football Association of Ireland,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Republic_of_Ireland_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Ireland
61,T-61,Romania,ROU,1,0,Romanian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Romania_national_football_team,not applicable,https://en.wikipedia.org/wiki/Romanian_Football_Federation
62,T-62,Russia,RUS,1,1,Russian Football Union,"Europe, Asia",CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Russia_national_football_team,https://en.wikipedia.org/wiki/Russia_women's_national_football_team,https://en.wikipedia.org/wiki/Russian_Football_Union
63,T-63,Saudi Arabia,SAU,1,0,Saudi Arabian Football Association,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Saudi_Arabian_Football_Federation
64,T-64,Scotland,SCO,1,1,Scottish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Scotland_national_football_team,https://en.wikipedia.org/wiki/Scotland_women's_national_football_team,https://en.wikipedia.org/wiki/Scottish_Football_Association
65,T-65,Senegal,SEN,1,0,Senegalese Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Senegal_national_football_team,not applicable,https://en.wikipedia.org/wiki/Senegalese_Football_Federation
66,T-66,Serbia,SRB,1,0,Football Association of Serbia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Serbia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Serbia
67,T-67,Serbia and Montenegro,SCG,1,0,Football Association of Serbia and Montenegro,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Serbia_and_Montenegro_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Serbia_and_Montenegro
68,T-68,Slovakia,SVK,1,0,Slovak Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Slovakia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Slovak_Football_Association
69,T-69,Slovenia,SVN,1,0,Football Association of Slovenia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Slovenia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Slovenia
70,T-70,South Africa,ZAF,1,1,South African Football Associaiton,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,https://en.wikipedia.org/wiki/South_Africa_women's_national_soccer_team,https://en.wikipedia.org/wiki/South_African_Football_Association
71,T-71,South Korea,KOR,1,1,Korea Football Association,East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/South_Korea_national_football_team,https://en.wikipedia.org/wiki/South_Korea_women's_national_football_team,https://en.wikipedia.org/wiki/Korea_Football_Association
72,T-72,Soviet Union,SUN,1,0,Football Federation of the Soviet Union,"Europe, Asia",CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Soviet_Union_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Federation_of_the_Soviet_Union
73,T-73,Spain,ESP,1,1,Royal Spanish Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Spain_national_football_team,https://en.wikipedia.org/wiki/Spain_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation
74,T-74,Sweden,SWE,1,1,Swedish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
75,T-75,Switzerland,CHE,1,1,Swiss Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Switzerland_national_football_team,https://en.wikipedia.org/wiki/Switzerland_women's_national_football_team,https://en.wikipedia.org/wiki/Swiss_Football_Association
76,T-76,Thailand,THA,0,1,Football Association of Thailand,South East Asia,CF-1,Asian Football Confederation,AFC,not applicable,https://en.wikipedia.org/wiki/Thailand_women's_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Thailand
77,T-77,Togo,TGO,1,0,Togolese Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Togo_national_football_team,not applicable,https://en.wikipedia.org/wiki/Togolese_Football_Federation
78,T-78,Trinidad and Tobago,TTO,1,0,Trinidad and Tobago Football Assocaition,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_national_football_team,not applicable,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_Football_Association
79,T-79,Tunisia,TUN,1,0,Tunisian Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Tunisia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Tunisian_Football_Federation
80,T-80,Turkey,TUR,1,0,Turkish Football Association,"Europe, Asia",CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Turkey_national_football_team,not applicable,https://en.wikipedia.org/wiki/Turkish_Football_Federation
81,T-81,Ukraine,UKR,1,0,Ukrainian Association of Football,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Ukraine_national_football_team,not applicable,https://en.wikipedia.org/wiki/Ukrainian_Association_of_Football
82,T-82,United Arab Emirates,ARE,1,0,United Arab Emirates Football Association,Middle East,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/United_Arab_Emirates_national_football_team,not applicable,https://en.wikipedia.org/wiki/United_Arab_Emirates_Football_Association
83,T-83,United States,USA,1,1,United States Soccer Federation,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,https://en.wikipedia.org/wiki/United_States_Soccer_Federation
84,T-84,Uruguay,URY,1,0,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
85,T-85,Wales,WAL,1,0,Football Association of Wales,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Wales_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Wales
86,T-86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
87,T-87,Yugoslavia,YUG,1,0,Football Association of Yugoslavia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Yugoslavia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Yugoslavia
88,T-88,Zaire,COD,1,0,Congolese Association Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/DR_Congo_national_football_team,not applicable,https://en.wikipedia.org/wiki/Congolese_Association_Football_Federation
